upn,serial number,secret key,time interval,manufacturer,model
user1@versoix.onmicrosoft.com,8659623983111,JBSWY3DPEHPK3PXPJBSWY3DPEHPK3PXP,30,Token2,C202
user2@versoix.onmicrosoft.com,8659623983112,BBSWY3DPEHPK3PXPJBSWY3DPEHPK3PXP,30,Token2,C202
user3@versoix.onmicrosoft.com,8659623983113,SBSWY3DPEHPK3PXPJBSWY3DPEHPK3PXP,30,Token2,C202
user4@versoix.onmicrosoft.com,8659623983114,WBSWY3DPEHPK3PXPJBSWY3DPEHPK3PXP,30,Token2,C202
user32@versoix.onmicrosoft.com,8659623983115,P4J59WHUSJ5MHT8W9UWK8B6XKFJSA7YY,30,Token2,C202
user33@versoix.onmicrosoft.com,8659623983116,Z2KK3XI836VY8JSG2SIDM7QXXMSUFTVF,30,Token2,C202
user34@versoix.onmicrosoft.com,8659623983117,98CTY9YPHQFP4IYVW8DEMIQ5QNG84QG6,30,Token2,C202
user35@versoix.onmicrosoft.com,8659623983118,64CHYVZMXAFJQY2Y5DBY4U3WZHM7UBBF,30,Token2,C202
user36@versoix.onmicrosoft.com,8659623983119,M7YWP5RRV6VT7958P879YTPPM5CUX6C5,30,Token2,C202
user37@versoix.onmicrosoft.com,8659623983120,RTPG9ZG5YJV2SG52TAW5ZZXUX95BA6MK,30,Token2,C202
user38@versoix.onmicrosoft.com,8659623983121,7IPUP9MUN58IQCBBJSWA7RUD3C7ZUSWK,30,Token2,C202
user39@versoix.onmicrosoft.com,8659623983122,YPE4UH5NVQ54AD5QJSYARQFVTEXY8KFJ,30,Token2,C202
user40@versoix.onmicrosoft.com,8659623983123,CT2WRKY86ITGN8APWIQTBRQKT5F6NHIT,30,Token2,C202
user41@versoix.onmicrosoft.com,8659623983124,82JX8UZ7IAI9TC4UP5FDXZ3ZM5V5ZIYS,30,Token2,C202
user42@versoix.onmicrosoft.com,8659623983125,WZ97PP6CFD8ABEABN3QPQ3X5ZQHRA3J9,30,Token2,C202
user43@versoix.onmicrosoft.com,8659623983126,G9G3N9STKWSY8HG6RXEP5CDQ5SVWWD2G,30,Token2,C202
user44@versoix.onmicrosoft.com,8659623983127,I6MRNRCKU3CG9D7C2VEFNU5FUIE96MJM,30,Token2,C202
user45@versoix.onmicrosoft.com,8659623983128,9XCNDFWMXSJHU5Z43UWIQCENZBWC9R7Z,30,Token2,C202
user46@versoix.onmicrosoft.com,8659623983129,35CM9J64U6BXUPWSJ5PC96P7TBHPND77,30,Token2,C202
